Order Number,owner,Volume,Price,Side,Symbol,Timestamp
ORD00114,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 10:12:24
ORD00115,YokAndPun,100,32.0,Buy,BCP,2025-09-17 10:12:41
ORD00116,YokAndPun,100,20.6,Buy,TIDLOR,2025-09-17 10:20:09
ORD00117,YokAndPun,100,32.0,Buy,BCP,2025-09-17 10:12:50
ORD00118,YokAndPun,100,20.6,Buy,TIDLOR,2025-09-17 10:20:10
ORD00119,YokAndPun,100,32.0,Buy,BCP,2025-09-17 10:14:45
ORD00120,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:07:20
ORD00121,YokAndPun,100,10.7,Buy,TLI,2025-09-17 10:13:52
ORD00122,YokAndPun,100,32.0,Buy,BCP,2025-09-17 10:17:12
ORD00123,YokAndPun,100,10.7,Buy,TLI,2025-09-17 10:14:00
ORD00124,YokAndPun,100,10.7,Buy,TLI,2025-09-17 10:14:00
ORD00125,YokAndPun,100,37.25,Buy,TOP,2025-09-17 10:19:15
ORD00126,YokAndPun,100,40.0,Buy,GPSC,2025-09-17 10:18:39
ORD00127,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:09:22
ORD00128,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:10:20
ORD00129,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:11:48
ORD00130,YokAndPun,100,10.7,Buy,TLI,2025-09-17 10:16:18
ORD00131,YokAndPun,100,23.5,Buy,CPF,2025-09-17 10:06:24
ORD00132,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 10:12:15
ORD00133,YokAndPun,100,23.6,Buy,CPF,2025-09-17 10:06:25
ORD00134,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:12:17
ORD00135,YokAndPun,100,23.6,Buy,CPF,2025-09-17 10:06:33
ORD00136,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:12:20
ORD00137,YokAndPun,100,33.5,Buy,PTT,2025-09-17 10:03:03
ORD00138,YokAndPun,100,23.5,Buy,CPF,2025-09-17 10:06:43
ORD00139,YokAndPun,100,23.5,Buy,CPF,2025-09-17 10:06:43
ORD00140,YokAndPun,100,24.5,Sell,CRC,2025-09-17 10:04:10
ORD00141,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 10:24:15
ORD00142,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:14:00
ORD00143,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 10:14:12
ORD00145,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 10:14:12
ORD00146,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:14:18
ORD00147,YokAndPun,100,7.8,Buy,HMPRO,2025-09-17 10:12:02
ORD00148,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:15:13
ORD00149,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:15:20
ORD00150,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 10:18:38
ORD00151,YokAndPun,100,39.75,Buy,AOT,2025-09-17 10:02:48
ORD00152,YokAndPun,100,27.75,Buy,PTTGC,2025-09-17 10:32:54
ORD00153,YokAndPun,100,7.8,Sell,HMPRO,2025-09-17 10:16:15
ORD00154,YokAndPun,100,7.8,Sell,HMPRO,2025-09-17 10:17:44
ORD00155,YokAndPun,100,31.0,Buy,KTC,2025-09-17 10:02:18
ORD00156,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:17:38
ORD00158,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:17:38
ORD00160,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:17:38
ORD00161,YokAndPun,100,5.05,Buy,BANPU,2025-09-17 10:02:37
ORD00162,YokAndPun,100,4.9799999999999995,Buy,BANPU,2025-09-17 10:02:41
ORD00163,YokAndPun,100,7.8,Sell,HMPRO,2025-09-17 10:21:11
ORD00164,YokAndPun,100,5.0,Sell,BANPU,2025-09-17 10:03:09
ORD00165,YokAndPun,100,5.0,Sell,BANPU,2025-09-17 10:03:10
ORD00166,YokAndPun,100,5.05,Buy,BANPU,2025-09-17 10:03:19
ORD00167,YokAndPun,100,5.05,Buy,BANPU,2025-09-17 10:03:22
ORD00168,YokAndPun,100,1.8800000000000001,Buy,TTB,2025-09-17 10:16:14
ORD00169,YokAndPun,100,27.75,Sell,PTTGC,2025-09-17 10:50:15
ORD00170,YokAndPun,100,27.75,Sell,PTTGC,2025-09-17 10:51:24
ORD00171,YokAndPun,100,27.75,Sell,PTTGC,2025-09-17 10:52:07
ORD00172,YokAndPun,100,27.75,Sell,PTTGC,2025-09-17 10:52:50
ORD00173,YokAndPun,100,7.8,Buy,HMPRO,2025-09-17 10:23:46
ORD00174,YokAndPun,100,5.05,Buy,BANPU,2025-09-17 10:03:49
ORD00175,YokAndPun,100,27.75,Sell,PTTGC,2025-09-17 10:54:19
ORD00176,YokAndPun,100,37.0,Buy,TOP,2025-09-17 10:34:40
ORD00177,YokAndPun,100,5.05,Buy,BANPU,2025-09-17 10:04:13
ORD00178,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 11:00:06
ORD00179,YokAndPun,100,33.5,Buy,PTT,2025-09-17 10:06:24
ORD00180,YokAndPun,100,33.5,Buy,PTT,2025-09-17 10:06:41
ORD00181,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 11:00:42
ORD00182,YokAndPun,100,5.05,Buy,BANPU,2025-09-17 10:05:12
ORD00183,YokAndPun,100,39.5,Buy,AOT,2025-09-17 10:04:09
ORD00184,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 11:01:58
ORD00185,YokAndPun,100,33.5,Buy,PTT,2025-09-17 10:07:43
ORD00186,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 11:03:49
ORD00187,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 11:07:14
ORD00188,YokAndPun,100,14.299999999999999,Buy,OR,2025-09-17 10:19:05
ORD00189,YokAndPun,100,39.5,Buy,AOT,2025-09-17 10:04:33
ORD00190,YokAndPun,100,7.8,Buy,HMPRO,2025-09-17 10:28:08
ORD00191,YokAndPun,100,7.8,Buy,HMPRO,2025-09-17 10:28:08
ORD00192,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:23:41
ORD00194,YokAndPun,100,24.700000000000003,Buy,CRC,2025-09-17 10:27:39
ORD00195,YokAndPun,100,20.400000000000002,Buy,TIDLOR,2025-09-17 10:53:11
ORD00196,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:25:34
ORD00197,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 11:19:18
ORD00199,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 11:19:18
ORD00201,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 11:19:18
ORD00202,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 11:19:19
ORD00204,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 11:19:33
ORD00205,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 11:19:59
ORD00206,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 11:20:34
ORD00207,YokAndPun,100,20.5,Sell,TIDLOR,2025-09-17 11:00:49
ORD00208,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:33:51
ORD00209,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:34:34
ORD00210,YokAndPun,100,3.8,Buy,WHA,2025-09-17 10:21:54
ORD00211,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:40:52
ORD00213,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 11:26:36
ORD00214,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:49:43
ORD00215,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 11:29:56
ORD00216,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:51:20
ORD00218,YokAndPun,100,2.5,Sell,AWC,2025-09-17 10:51:20
ORD00219,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:52:21
ORD00220,YokAndPun,100,42.5,Buy,MTC,2025-09-17 10:56:10
ORD00221,YokAndPun,100,2.5,Buy,AWC,2025-09-17 10:52:32
ORD00222,YokAndPun,100,42.5,Buy,MTC,2025-09-17 10:56:19
ORD00223,YokAndPun,100,20.3,Buy,TIDLOR,2025-09-17 11:10:12
ORD00224,YokAndPun,100,20.3,Buy,TIDLOR,2025-09-17 11:10:12
ORD00225,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 11:33:57
ORD00226,YokAndPun,100,2.5,Buy,AWC,2025-09-17 11:23:01
ORD00227,YokAndPun,100,2.5,Buy,AWC,2025-09-17 11:35:13
ORD00228,YokAndPun,100,2.5,Buy,AWC,2025-09-17 11:38:21
ORD00229,YokAndPun,100,20.200000000000003,Buy,TIDLOR,2025-09-17 11:12:38
ORD00230,YokAndPun,100,39.5,Buy,AOT,2025-09-17 10:11:13
ORD00231,YokAndPun,100,3.34,Buy,BTS,2025-09-17 10:39:39
ORD00232,YokAndPun,100,39.5,Buy,AOT,2025-09-17 10:12:21
ORD00233,YokAndPun,100,3.34,Buy,BTS,2025-09-17 10:40:04
ORD00234,YokAndPun,100,56.5,Buy,CBG,2025-09-17 11:26:41
ORD00235,YokAndPun,100,37.25,Sell,TOP,2025-09-17 11:34:17
ORD00236,YokAndPun,100,37.25,Buy,TOP,2025-09-17 11:34:18
ORD00237,YokAndPun,100,37.25,Sell,TOP,2025-09-17 11:34:19
ORD00238,YokAndPun,100,37.25,Sell,TOP,2025-09-17 11:34:54
ORD00239,YokAndPun,100,37.25,Sell,TOP,2025-09-17 11:34:54
ORD00240,YokAndPun,100,37.25,Sell,TOP,2025-09-17 11:35:04
ORD00241,YokAndPun,100,58.75,Buy,KKP,2025-09-17 14:01:45
ORD00242,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 11:49:37
ORD00244,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 11:49:37
ORD00246,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 11:49:37
ORD00247,YokAndPun,100,28.25,Sell,PTTGC,2025-09-17 12:10:01
ORD00249,YokAndPun,100,28.25,Sell,PTTGC,2025-09-17 12:10:01
ORD00251,YokAndPun,100,28.25,Sell,PTTGC,2025-09-17 12:10:01
ORD00252,YokAndPun,100,28.25,Sell,PTTGC,2025-09-17 12:10:01
ORD00254,YokAndPun,100,28.25,Sell,PTTGC,2025-09-17 12:10:01
ORD00255,YokAndPun,100,23.5,Buy,IVL,2025-09-17 10:22:52
ORD00256,YokAndPun,100,3.32,Buy,BTS,2025-09-17 10:43:11
ORD00257,YokAndPun,100,3.32,Buy,BTS,2025-09-17 10:43:11
ORD00258,YokAndPun,100,3.32,Buy,BTS,2025-09-17 10:43:11
ORD00259,YokAndPun,100,28.5,Buy,PTTGC,2025-09-17 12:10:09
ORD00260,YokAndPun,100,28.5,Buy,PTTGC,2025-09-17 12:10:09
ORD00261,YokAndPun,100,2.5,Sell,AWC,2025-09-17 12:10:05
ORD00263,YokAndPun,100,2.5,Sell,AWC,2025-09-17 12:10:05
ORD00265,YokAndPun,100,2.5,Sell,AWC,2025-09-17 12:10:05
ORD00266,YokAndPun,100,2.5,Sell,AWC,2025-09-17 12:10:05
ORD00268,YokAndPun,100,2.5,Sell,AWC,2025-09-17 12:10:20
ORD00269,YokAndPun,100,37.25,Buy,TOP,2025-09-17 11:49:06
ORD00270,YokAndPun,100,7.8500000000000005,Sell,HMPRO,2025-09-17 12:05:58
ORD00272,YokAndPun,100,7.8500000000000005,Sell,HMPRO,2025-09-17 12:05:58
ORD00274,YokAndPun,100,7.8500000000000005,Sell,HMPRO,2025-09-17 12:05:58
ORD00275,YokAndPun,100,7.8500000000000005,Sell,HMPRO,2025-09-17 12:05:58
ORD00277,YokAndPun,100,7.8500000000000005,Sell,HMPRO,2025-09-17 12:05:59
ORD00278,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 11:54:20
ORD00279,YokAndPun,100,20.299999999999997,Sell,TIDLOR,2025-09-17 11:34:02
ORD00280,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 12:16:58
ORD00281,YokAndPun,100,20.4,Sell,TIDLOR,2025-09-17 11:34:56
ORD00283,YokAndPun,100,20.4,Sell,TIDLOR,2025-09-17 11:34:56
ORD00284,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 12:20:26
ORD00285,YokAndPun,100,20.299999999999997,Sell,TIDLOR,2025-09-17 11:35:15
ORD00286,YokAndPun,100,20.299999999999997,Sell,TIDLOR,2025-09-17 11:35:26
ORD00287,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 11:59:04
ORD00288,YokAndPun,100,11.299999999999999,Buy,TRUE,2025-09-17 11:59:22
ORD00289,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 12:26:58
ORD00290,YokAndPun,100,4.46,Buy,LH,2025-09-17 10:58:42
ORD00291,YokAndPun,100,2.5,Buy,AWC,2025-09-17 14:02:14
ORD00292,YokAndPun,100,2.5,Buy,AWC,2025-09-17 14:02:56
ORD00293,YokAndPun,100,2.5,Buy,AWC,2025-09-17 14:04:33
ORD00294,YokAndPun,100,2.5,Buy,AWC,2025-09-17 14:06:33
ORD00295,YokAndPun,100,39.75,Sell,AOT,2025-09-17 10:17:26
ORD00297,YokAndPun,100,39.75,Sell,AOT,2025-09-17 10:17:26
ORD00299,YokAndPun,100,39.75,Sell,AOT,2025-09-17 10:17:27
ORD00301,YokAndPun,100,39.75,Sell,AOT,2025-09-17 10:17:27
ORD00302,YokAndPun,100,39.75,Sell,AOT,2025-09-17 10:17:28
ORD00303,YokAndPun,100,42.75,Sell,MTC,2025-09-17 11:43:34
ORD00305,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:06:40
ORD00306,YokAndPun,100,2.48,Sell,AWC,2025-09-17 14:06:41
ORD00307,YokAndPun,100,2.48,Sell,AWC,2025-09-17 14:06:41
ORD00308,YokAndPun,100,2.48,Sell,AWC,2025-09-17 14:06:41
ORD00309,YokAndPun,100,2.48,Sell,AWC,2025-09-17 14:06:51
ORD00310,YokAndPun,100,2.48,Sell,AWC,2025-09-17 14:06:51
ORD00311,YokAndPun,100,7.8999999999999995,Buy,HMPRO,2025-09-17 14:01:45
ORD00312,YokAndPun,100,27.5,Sell,PTTGC,2025-09-17 14:07:00
ORD00313,YokAndPun,100,27.5,Sell,PTTGC,2025-09-17 14:07:00
ORD00314,YokAndPun,100,56.75,Sell,CBG,2025-09-17 14:41:28
ORD00315,YokAndPun,100,28.0,Buy,PTTGC,2025-09-17 14:07:53
ORD00316,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 12:09:21
ORD00318,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 12:09:21
ORD00320,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 12:09:21
ORD00321,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 12:10:40
ORD00323,YokAndPun,100,39.75,Buy,AOT,2025-09-17 10:18:06
ORD00324,YokAndPun,100,11.3,Sell,TRUE,2025-09-17 12:11:44
ORD00325,YokAndPun,100,1.95,Buy,VGI,2025-09-17 10:47:14
ORD00326,YokAndPun,100,39.75,Buy,AOT,2025-09-17 10:18:37
ORD00327,YokAndPun,100,11.4,Buy,TRUE,2025-09-17 12:17:44
ORD00328,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:13:59
ORD00329,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:14:17
ORD00330,YokAndPun,100,42.75,Sell,MTC,2025-09-17 11:56:25
ORD00331,YokAndPun,100,11.4,Buy,TRUE,2025-09-17 12:18:59
ORD00332,YokAndPun,100,24.799999999999997,Sell,CRC,2025-09-17 12:03:39
ORD00333,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 14:25:39
ORD00334,YokAndPun,100,11.4,Buy,TRUE,2025-09-17 12:20:36
ORD00335,YokAndPun,100,11.4,Buy,TRUE,2025-09-17 12:20:50
ORD00336,YokAndPun,100,11.4,Buy,TRUE,2025-09-17 12:21:28
ORD00337,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 14:27:46
ORD00338,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:20:26
ORD00339,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:21:51
ORD00340,YokAndPun,100,37.25,Buy,TOP,2025-09-17 12:24:08
ORD00341,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 14:35:49
ORD00342,YokAndPun,100,37.25,Buy,TOP,2025-09-17 12:26:01
ORD00343,YokAndPun,100,2.5,Sell,AWC,2025-09-17 14:27:24
ORD00345,YokAndPun,100,2.5,Sell,AWC,2025-09-17 14:27:24
ORD00347,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:28:55
ORD00348,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:30:30
ORD00349,YokAndPun,100,1.94,Buy,VGI,2025-09-17 10:47:21
ORD00350,YokAndPun,100,58.75,Buy,KKP,2025-09-17 15:05:46
ORD00351,YokAndPun,100,1.94,Buy,VGI,2025-09-17 10:47:21
ORD00352,YokAndPun,100,1.94,Buy,VGI,2025-09-17 10:47:21
ORD00353,YokAndPun,100,2.48,Buy,AWC,2025-09-17 14:31:07
ORD00354,YokAndPun,100,39.75,Buy,AOT,2025-09-17 10:25:27
ORD00355,YokAndPun,100,37.25,Buy,TOP,2025-09-17 13:59:05
ORD00356,YokAndPun,100,28.0,Sell,PTTGC,2025-09-17 14:45:29
ORD00357,YokAndPun,100,25.5,Sell,COM7,2025-09-17 11:05:51
ORD00359,YokAndPun,100,25.5,Sell,COM7,2025-09-17 11:05:51
ORD00361,YokAndPun,100,25.5,Sell,COM7,2025-09-17 11:05:51
ORD00362,YokAndPun,100,25.5,Sell,COM7,2025-09-17 11:06:10
ORD00364,YokAndPun,100,25.5,Sell,COM7,2025-09-17 11:06:10
ORD00365,YokAndPun,100,1.95,Sell,VGI,2025-09-17 10:47:22
ORD00367,YokAndPun,100,1.95,Sell,VGI,2025-09-17 10:47:22
ORD00368,YokAndPun,100,1.94,Buy,VGI,2025-09-17 10:47:23
ORD00369,YokAndPun,100,1.94,Buy,VGI,2025-09-17 10:47:29
ORD00370,YokAndPun,100,1.93,Buy,VGI,2025-09-17 10:47:34
ORD00371,YokAndPun,100,25.5,Buy,COM7,2025-09-17 11:07:42
ORD00372,YokAndPun,100,25.5,Sell,COM7,2025-09-17 11:07:54
ORD00373,YokAndPun,100,25.75,Buy,COM7,2025-09-17 11:09:33
ORD00374,YokAndPun,100,25.75,Buy,COM7,2025-09-17 11:09:45
ORD00375,YokAndPun,100,25.75,Buy,COM7,2025-09-17 11:09:58
ORD00376,YokAndPun,100,25.75,Buy,COM7,2025-09-17 11:11:12
ORD00377,YokAndPun,100,39.75,Buy,AOT,2025-09-17 10:27:42
ORD00378,YokAndPun,100,25.75,Buy,COM7,2025-09-17 11:14:30
ORD00379,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 15:34:42
ORD00380,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 15:37:34
ORD00381,YokAndPun,100,28.25,Buy,PTTGC,2025-09-17 15:38:30
