Timestamp | Error Message
2025-11-06 22:12:29.996342 | [ERROR] Order for PTTGC (Vol: 100, Price: 27.75, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:12:29.997379 | [ERROR] Order for TISCO (Vol: 100, Price: 102.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:13:24.173429 | [ERROR] Order for AWC (Vol: 100, Price: 2.38, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:13:24.175363 | [ERROR] Order for BJC (Vol: 100, Price: 20.3, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:13:24.176783 | [ERROR] Order for DELTA (Vol: 100, Price: 160.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:13:24.179726 | [ERROR] Order for PTTGC (Vol: 100, Price: 26.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:13:24.180878 | [ERROR] Order for TLI (Vol: 100, Price: 10.8, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:13:24.225313 | [ERROR] Order for DELTA (Vol: 100, Price: 159.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:14:23.962298 | [ERROR] Order for OSP (Vol: 100, Price: 17.3, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:14:23.963132 | [ERROR] Order for PTTGC (Vol: 100, Price: 25.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.683702 | [ERROR] Order for BEM (Vol: 100, Price: 5.15, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.684450 | [ERROR] Order for BTS (Vol: 100, Price: 3.24, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.693573 | [ERROR] Order for PTT (Vol: 100, Price: 32.25, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.696590 | [ERROR] Order for SCGP (Vol: 100, Price: 19.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.699178 | [ERROR] Order for TU (Vol: 100, Price: 13.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.773324 | [ERROR] Order for BTS (Vol: 100, Price: 3.22, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.906848 | [ERROR] Order for BTS (Vol: 100, Price: 3.18, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.927138 | [ERROR] Order for BTS (Vol: 100, Price: 3.2, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:16:32.942554 | [ERROR] Order for SCC (Vol: 100, Price: 228.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:17:50.770099 | [ERROR] Order for COM7 (Vol: 100, Price: 26.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:17:50.776285 | [ERROR] Order for DELTA (Vol: 100, Price: 171.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:17:50.783561 | [ERROR] Order for MTC (Vol: 100, Price: 40.75, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:17:50.799681 | [ERROR] Order for TRUE (Vol: 100, Price: 10.7, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:17:50.940334 | [ERROR] Order for DELTA (Vol: 100, Price: 171.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:17:50.968158 | [ERROR] Order for OR (Vol: 100, Price: 14.2, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:17:51.011295 | [ERROR] Order for VGI (Vol: 100, Price: 1.59, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:17:51.033075 | [ERROR] Order for EGCO (Vol: 100, Price: 112.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:17:51.102357 | [ERROR] Order for EGCO (Vol: 100, Price: 113.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:17:52.108994 | [ERROR] Order for TRUE (Vol: 100, Price: 10.6, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:18:51.485923 | [ERROR] Order for CPF (Vol: 100, Price: 22.6, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:18:51.506528 | [ERROR] Order for TISCO (Vol: 100, Price: 102.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:20:04.464787 | [ERROR] Order for OSP (Vol: 100, Price: 17.1, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:20:04.466963 | [ERROR] Order for TOP (Vol: 100, Price: 36.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:20:04.619442 | [ERROR] Order for TU (Vol: 100, Price: 12.3, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:21:23.667745 | [ERROR] Order for CCET (Vol: 100, Price: 6.2, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:21:23.668862 | [ERROR] Order for DELTA (Vol: 100, Price: 182.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:21:23.669029 | [ERROR] Order for EGCO (Vol: 100, Price: 116.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:21:23.672110 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.4, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:21:23.672533 | [ERROR] Order for TLI (Vol: 100, Price: 10.2, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:21:23.746809 | [ERROR] Order for TU (Vol: 100, Price: 12.4, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:21:23.762177 | [ERROR] Order for PTT (Vol: 100, Price: 33.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:22:26.601827 | [ERROR] Order for CCET (Vol: 100, Price: 6.05, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:22:26.605524 | [ERROR] Order for PTTGC (Vol: 100, Price: 25.75, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:22:26.739059 | [ERROR] Order for KKP (Vol: 100, Price: 59.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:22:26.920661 | [ERROR] Order for BTS (Vol: 100, Price: 3.06, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:22:26.932408 | [ERROR] Order for BTS (Vol: 100, Price: 3.04, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:22:27.617450 | [ERROR] Order for AWC (Vol: 100, Price: 2.26, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:23:35.217832 | [ERROR] Order for BTS (Vol: 100, Price: 3.08, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:23:35.218417 | [ERROR] Order for CCET (Vol: 100, Price: 5.95, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:23:35.220133 | [ERROR] Order for GULF (Vol: 100, Price: 44.25, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:23:35.272526 | [ERROR] Order for EGCO (Vol: 100, Price: 125.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:23:35.339114 | [ERROR] Order for AWC (Vol: 100, Price: 2.22, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:25:07.110326 | [ERROR] Order for AOT (Vol: 100, Price: 43.25, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:25:07.111459 | [ERROR] Order for BEM (Vol: 100, Price: 5.3, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:25:07.113345 | [ERROR] Order for GPSC (Vol: 100, Price: 41.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:25:07.116982 | [ERROR] Order for TLI (Vol: 100, Price: 10.6, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:25:07.117336 | [ERROR] Order for TOP (Vol: 100, Price: 35.25, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:25:07.281814 | [ERROR] Order for PTTEP (Vol: 100, Price: 111.5, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:26:59.391066 | [ERROR] Order for BANPU (Vol: 100, Price: 4.38, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:26:59.396944 | [ERROR] Order for TOP (Vol: 100, Price: 33.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:26:59.416837 | [ERROR] Order for EGCO (Vol: 100, Price: 136.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:50.905906 | [ERROR] Order for AOT (Vol: 100, Price: 40.75, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.907535 | [ERROR] Order for BCP (Vol: 100, Price: 29.75, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.909092 | [ERROR] Order for BJC (Vol: 100, Price: 19.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.910338 | [ERROR] Order for COM7 (Vol: 100, Price: 26.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.911454 | [ERROR] Order for CRC (Vol: 100, Price: 20.4, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.913730 | [ERROR] Order for KBANK (Vol: 100, Price: 167.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.914864 | [ERROR] Order for LH (Vol: 100, Price: 4.1, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.916993 | [ERROR] Order for RATCH (Vol: 100, Price: 28.0, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.917939 | [ERROR] Order for SCGP (Vol: 100, Price: 17.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:50.919043 | [ERROR] Order for TLI (Vol: 100, Price: 10.4, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:51.050916 | [ERROR] Order for CRC (Vol: 100, Price: 20.3, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:51.051289 | [ERROR] Order for DELTA (Vol: 100, Price: 180.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.109048 | [ERROR] Order for OR (Vol: 100, Price: 13.3, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:51.144393 | [ERROR] Order for SCB (Vol: 100, Price: 128.5, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:51.157230 | [ERROR] Order for TLI (Vol: 100, Price: 10.3, Side: Sell) skipped due to Order's sell volume exceeds the cumulative buy volume from the daily ticks.
2025-11-06 22:28:51.201299 | [ERROR] Order for DELTA (Vol: 100, Price: 179.5, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.272188 | [ERROR] Order for DELTA (Vol: 100, Price: 181.0, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.292310 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.8, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.317951 | [ERROR] Order for DELTA (Vol: 100, Price: 180.5, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.372386 | [ERROR] Order for BDMS (Vol: 100, Price: 20.1, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.460734 | [ERROR] Order for BEM (Vol: 100, Price: 5.1, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
2025-11-06 22:28:51.571327 | [ERROR] Order for RATCH (Vol: 100, Price: 27.75, Side: Buy) skipped due to Order's buy volume exceeds the cumulative sell volume from the daily ticks.
